PARISH_NAM,SHAPE_Leng,SHAPE_Area
Allhallows Barking,1959.324243,113161.2534
All Hallows Bread Str,1036.395461,29253.60102
Alhallows Hony Lane,389.7701728,9531.883391
Allhallows the Wall,1781.349214,60566.57242
Allhallows the Wall,1312.008392,21637.16466
Allhallows Staining,1181.077586,38897.18469
Allhallows ye great,1282.140881,67708.09683
Allhallows Lumbard Str,1007.985695,28755.68225
Christ church,2021.555369,127257.5247
Trinity Minories,959.4486226,48121.99039
Trinity Parish,594.8922714,16366.92893
St Botolph Aldersgate,3517.493167,278984.465
Norton Folgate,1813.553449,140602.632
Liberty of Saffron Hill,2729.880738,317086.2408
St Clement Danes,3490.58393,416327.8526
S Mary Savoy,640.9779165,19622.91282
St Botolph Bishopsgate,3590.897814,597916.6819
Precinct of Bridewell,957.7474668,45536.43695
S Katherine Tower,967.8860789,46955.78909
St Dunstan in the West,3550.474231,212456.6871
St Alban Woodstrt,1112.975599,36564.0907
St Alphage,1320.291793,39187.08377
St Andrew  Wardrobe,1192.362803,55983.66765
St Andrew Holborn,5540.751505,861369.8049
St Andrew Hubbard,715.7367564,19958.12292
St Andrew Undersh,1926.489212,101372.0392
St Ann Aldersgate,858.7328803,26793.90879
St Ann Blackfriers,1537.74088,105867.4022
St Antholins,922.1357371,30219.0131
St Austin,747.3226217,18893.32296
St Bartholomew the Great,1283.874699,86101.35132
St Bartholomew the Less,1053.982653,43596.51293
St Batholomw Exchan,1165.825233,42381.47007
St Bennet Fink,816.3750193,28225.32028
St Bennet Gracech,755.1451183,19130.70738
St Bennt Pauls wharf,1036.175064,57652.90757
St Bennet Sherehog,470.5948672,10420.92375
St Botolph Bps gate,762.7233374,28419.52035
St Bride,3168.882811,284946.6774
St Christophers,814.0012828,30006.57716
St Clement Eastcheap,450.156169,7537.026123
St Dionis Backchurch,1317.931531,46814.73454
St Dunstan East,1925.787147,125644.0299
St Edmund Lumbd St,929.3386435,29953.1004
St Ethelborough,935.1174695,35038.46772
St Faith,1633.209013,57689.18022
St Gabrll Fenchurch,891.5234165,25503.39005
St George Bot Lane,568.2045603,13403.65031
St Giles Cripplegate,6159.371978,1350851.044
S Giles in the Fields,1167.764377,54685.6793
St Gregory by St Pauls,1662.871667,118834.9717
St Hellen,1389.198542,74018.39495
S James Clerkenwell,5007.110687,847518.4823
St James Dukes place,976.8200098,31672.05562
St James Garlick hith,1035.976709,35416.13376
St John Baptist,611.3511212,15701.0838
St John Evangelist,552.6173331,9223.722587
St John Zachary,834.8859695,24700.50686
St Katherine Coleman,1369.682967,61486.28249
St Katherine Creechur,2247.407028,93954.34632
St Laurence Poultney,1324.735969,31918.47085
St Laurence Jewry,1651.290476,60839.45049
St Leonard Eastche,577.4173399,10514.68158
St Leonard Foster Lane,957.0641742,29052.80318
S Leonard Shoreditch,3432.37383,325702.7042
St Magnus Parish,972.3901857,40384.2229
St Margt New fish St,695.6940113,21180.84028
St Margt Lothbury,1097.585839,42317.26406
St Margaret Moses,678.9520376,15576.917
St Margt Pattons,802.5719405,20477.5027
St Martin Ludgate,917.8045227,42843.90747
St Martin Orgars,1334.847484,30522.72859
St Martin Outwich,948.9922106,34615.55508
St Martin Ironmon L,806.9329085,14650.43667
St Martin Vintry,892.7297977,43633.23333
St Mary Abchurch,854.0456718,25422.02217
St Mary Aldermanbury,1299.711633,49109.08337
St Mary Aldermary,789.9129518,22968.56492
St Mary Hill,1053.294386,43428.26168
St Mary Bothaw,723.5406024,19144.00995
St Mary Colechurch,625.8081264,13387.46601
St Mary le Bow,925.2870971,31413.99537
St Mary Magdalen O F St,700.214171,20010.02384
St Mary Magd Milk Street,768.966695,17169.53883
St Botolph Algate,5026.110726,431723.6153
St Mary Mounthaw,602.082021,11961.06946
St Mary Somerset,838.4349639,39254.08094
St Mary Staining,516.3344256,9406.054025
S Mary Whitechapel,3562.158606,439545.588
St Mary Woolchurch,768.9488199,21767.43515
St Mary Woolnoth,852.9445256,27736.51082
St Mathew Friday Str,585.5769205,13962.89097
St Michael Bassishaw,1450.783866,57700.98857
St Michael Cornhill,1338.084512,40744.35302
St Michael Crookd la,1315.422044,39740.66897
St Michael Querne,806.9109958,16856.8475
St Michael Royal,1036.797902,24042.0344
St Michll Queenhith,925.8963951,43991.07646
St Michael Wood str,918.493739,25947.04252
St Mildred Bred str,665.4666852,15712.90194
St Mildred Poultry,1007.4882,35384.8007
St Nicholas Acon,658.5803057,15744.71649
St Nicholas Coleab,781.1400153,18875.08021
St Nicholas Olave,518.6052184,13726.08333
St Olave Hart street,1960.07601,118503.4042
St Olave Jewry,703.8257384,24169.33949
St Olave Silver Strt,1125.564366,35340.5014
St Peter Cornhil,1274.550207,60681.59689
St Peter Poor,1649.894803,104260.2737
St Peters  Pauls wharf,910.6468953,27676.70096
St Peter Cheap,511.795964,14291.73145
St Sepulcres,5255.186286,689968.4061
St Stephen Coleman st,3026.693063,280613.969
St Stephen Walbroke,719.4472289,20907.777
St Swithin,923.0557986,31013.04677
St Thomas Apostle,843.376109,28468.69544
St Vedast,833.0554567,23334.96545
The Temple,1595.640371,117585.5402
Tower Liberty,2465.219204,292452.7218
St Pancras Soper La,622.1853543,13222.42009
Allhallows ye less,847.1301468,32290.2183
Allhallows ye less,236.7917591,2176.901916
River Thames,10210.88487,842378.7933
Stepney Parish,3781.428386,662885.8959
